1;Адыгея
2;Алтай
3;Алтайский край
4;Амурская область
5;Архангельская область
6;Астраханская область
7;Башкортостан
8;Белгородская область
9;Брянская область
10;Бурятия
11;Владимирская область
12;Волгоградская область
13;Вологодская область
14;Воронежская область
15;Дагестан
16;Еврейская автономная область
17;Забайкальский край
18;Ивановская область
19;Ингушетия
20;Иркутская область
21;Кабардино-Балкария
22;Калининградская область
23;Калмыкия
24;Калужская область
25;Камчатский край
26;Карачаево-Черкесия
27;Карелия
28;Кемеровская область
29;Кировская область
30;Коми
31;Костромская область
32;Краснодарский край
33;Красноярский край
34;Крым
35;Курганская область
36;Курская область
37;Ленинградская область
38;Липецкая область
39;Магаданская область
40;Марий Эл
41;Мордовия
42;Москва
43;Московская область
44;Мурманская область
45;Ненецкий автономный округ
46;Нижегородская область
47;Новгородская область
48;Новосибирская область
49;Омская область
50;Оренбургская область
51;Орловская область
52;Пензенская область
53;Пермский край
54;Приморский край
55;Псковская область
56;Ростовская область
57;Рязанская область
58;Самарская область
59;Санкт-Петербург
60;Саратовская область
61;Саха (Якутия)
62;Сахалинская область
63;Свердловская область
64;Севастополь
65;Северная Осетия - Алания
66;Смоленская область
67;Ставропольский край
68;Тамбовская область
69;Татарстан
70;Тверская область
71;Томская область
72;Тульская область
73;Тыва
74;Тюменская область
75;Удмуртия
76;Ульяновская область
77;Хабаровский край
78;Хакасия
79;Ханты-Мансийский автономный округ – Югра
80;Челябинская область
81;Чечня
82;Чувашия
83;Чукотский автономный округ
84;Ямало-Ненецкий автономный округ
85;Ярославская область
